week_start,week_end,title,source,published_at,url,description
2024-08-10,2024-08-16,Republican leader Vivek Ramaswamy condemns anti-Hindu violence in Bangladesh,opindia.com,2024-08-14T08:53:26.000000Z,https://www.opindia.com/2024/08/republican-leader-vivek-ramaswamy-condemns-anti-hindu-violence-in-bangladesh/,"While the denouncement of the ongoing violence against Hindus in Bangladesh is appreciated, Vivek Ramaswamy missed some crucial points in his post. The 2024 ant..."
2024-08-17,2024-08-23,Vivek Ramaswamy sounds off on potential RFK Jr. role in a Trump administration,foxnews.com,2024-08-22T23:37:53.000000Z,https://www.foxnews.com/politics/vivek-ramaswamy-sounds-off-potential-rfk-jr-role-trump-administration,Vivek Ramaswamy spoke with Fox News Digital after the Trump campaign's counter-programming press conference on Day 4 of the Democratic National Convention.
2024-08-24,2024-08-30,Hawley Grills Mayorkas Over 'Catastrophic Failures' to Protect Migrant Kids from Labor Trafficking,breitbart.com,2024-08-26T21:25:31.000000Z,https://www.breitbart.com/politics/2024/08/26/josh-hawley-grills-dhs-chief-mayorkas-migrant-kids-risk-labor-trafficking/,"Sen. Josh Hawley is grilling DHS over ""catastrophic failures"" to protect hundreds of thousands of migrant children from labor trafficking."
2024-08-31,2024-09-06,Ramaswamy clashes with CNN host defending Harris' policy flip-flops: 'Actions speak louder than words',foxnews.com,2024-09-04T17:24:37.000000Z,https://www.foxnews.com/media/ramaswamy-clashes-cnn-host-defending-harris-policy-flip-flops-actions-speak-louder-than-words,Former GOP presidential candidate Vivek Ramaswamy debated CNN host Kate Bolduan over Vice President Kamala Harris' flip-flopping on her far-left policies.
2024-09-07,2024-09-13,Ramaswamy: Harris has been 'completely opaque' on her policies,nbcnews.com,2024-09-11T00:21:31.000000Z,https://www.nbcnews.com/now/video/ramaswamy-criticizes-vp-harris-for-changing-her-policies-too-many-times-219032133831,Former presidential candidate Vivek Ramaswamy talks to NBC News' Tom Llamas about how he believes Vice President Kamala Harris and former President Donald Trump...
2024-09-14,2024-09-20,A vision for America: Vivek Ramaswamy breaks down conservative 'truths' in new Fox Nation series,foxnews.com,2024-09-16T17:43:56.000000Z,https://www.foxnews.com/media/vision-america-vivek-ramaswamy-breaks-down-conservative-truths-new-fox-nation-series,"Former presidential candidate Vivek Ramaswamy is partnering with Fox Nation to focus on ""truths"" and an alternative to the leftist vision for America in a round..."
2024-09-21,2024-09-27,Vivek Ramaswamy warns GOP could be in for 'rude surprise' unless they answer who they are,foxnews.com,2024-09-23T13:38:46.000000Z,https://www.foxnews.com/media/vivek-ramaswamy-warns-gop-could-rude-surprise-unless-answer-who,"Former Republicans presidential candidate Vivek Ramaswamy urged Republicans to share their own vision for America instead of attacking the Democratic ""machine"" ..."
2024-09-28,2024-10-04,RIP Never Trump GOP. Vance’s dominant debate is beginning of the end,foxnews.com,2024-10-03T16:40:09.000000Z,https://www.foxnews.com/opinion/rip-never-trump-gop-vances-dominant-debate-beginning-end,Never Trump Republicans were the big losers from the vice-presidential debate. Sen. JD Vance's successful performance made it clear that the New Right will rema...
2024-10-05,2024-10-11,Elon Musk's Trump rally appearance completes the tech billionaire's MAGA transformation,msnbc.com,2024-10-07T18:12:58.000000Z,https://www.msnbc.com/top-stories/latest/elon-musk-donald-trump-butler-rally-endorsement-rcna174314,"Ayman Mohyeldin reacts to Elon Musk's appearance at a Trump campaign rally in Butler, Pennsylvania, three months after his attempted assassination"
2024-10-12,2024-10-18,No articles found,,,,
2024-10-19,2024-10-25,"Harris with Obama in Georgia, Trump to West with Gabbard, Ramaswamy",cbsnews.com,2024-10-24T19:23:00.000000Z,https://www.cbsnews.com/video/harris-with-obama-in-georgia-trump-to-west-with-gabbard-ramaswamy/,"Vice President Kamala Harris is campaigning with former President Barack Obama in Atlanta, Georgia, as former President Donald Trump stops in Arizona and Nevada..."
2024-10-26,2024-11-01,‘This Is the ‘Basket of Deplorables’ Moment’: Ramaswamy Says Biden ‘Garbage’ Comments Our ‘October Surprise’,breitbart.com,2024-10-30T02:59:44.000000Z,https://www.breitbart.com/clips/2024/10/29/this-is-the-basket-of-deplorables-moment-ramaswamy-says-biden-garbage-comments-october-surprise/,"Tuesday, during an appearance on FNC's"
2024-11-02,2024-11-08,Vivek Ramaswamy fires up MAGA crowd at Penn State-Ohio State game over Trump's early voting numbers,foxnews.com,2024-11-03T02:51:05.000000Z,https://www.foxnews.com/sports/vivek-ramaswamy-fires-up-maga-crowd-penn-state-vs-ohio-state-game-over-trumps-early-voting-numbers,Vivek Ramaswamy crashed a MAGA party before Penn State's loss to Ohio State Saturday and expressed confidence in Trump's early voting numbers in the state.
2024-11-09,2024-11-15,Vivek Ramaswamy Has a Message to Democrats After Trump Landslide Victory (VIDEO),thegatewaypundit.com,2024-11-11T02:20:55.000000Z,https://www.thegatewaypundit.com/2024/11/vivek-ramaswamy-has-message-democrats-after-trump-landslide/,Vivek Ramaswamy was on “This Week” on ABC with host Jon Karl on Sunday and discussed President Trump and anticipating his new administration.
2024-11-16,2024-11-22,Vivek Ramaswamy: Some Government Agencies Will Be ‘Deleted Outright’,breitbart.com,2024-11-17T19:05:29.000000Z,https://www.breitbart.com/clips/2024/11/17/vivek-ramaswamy-some-government-agencies-will-be-deleted-outright/,Vivek Ramaswamy said on this week's broadcast of FNC's
2024-11-23,2024-11-29,Vivek Ramaswamy Calls Biden's $6.6 Billion Deal With Tesla Rival 'Political Shot' at Elon Musk,ibtimes.com,2024-11-27T00:51:47.000000Z,https://www.ibtimes.com/vivek-ramaswamy-calls-bidens-66-billion-deal-tesla-rival-political-shot-elon-musk-3752811,"Vivek Ramaswamy criticized Biden's administration for its $6.6 billion loan to electric automaker Rivian, calling it a"
